SMILES,T,¦¤G
COC(C1=CC2=CC(OC)=C(OC)C=C2C(C3=CC=CC=C3OC)=C1COC(C4=CC=CC=C4)=O)=O,368.15,30.112
COC(C1=CC2=CC(OC)=C(OC)C=C2C(C3=CC=CC=C3OC)=C1COC(C4=CC=CC=C4)=O)=O,383.15,31.369
COC1=C(C2=CN(NC(C3=CC=CC=C3)=O)C4=C2C5=C(C=CC=C5)C=C4)C6=CC=CC=C6C=C1,373.15,31.067
CC1=C(C(C2=NC=CC3=C2C(C)=CC=C3)=NC=C4)C4=CC=C1,303,25.0845
CCC1=C(C(C2=NC=CC3=C2C(CC)=CC=C3)=NC=C4)C4=CC=C1,303,24.1289
CC(C)C1=C(C(C2=NC=CC3=C2C(C(C)C)=CC=C3)=NC=C4)C4=CC=C1,303,23.6511
O=C(N(C(C)C)C(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1C(C4=CC=CC=C4)NS(C(C)(C)C)=O,298.15,27.402
O=C(N(C(C)C)C(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1C(C4=CC=CC=C4)NS(C(C)(C)C)=O,298.15,27.545
O=C(N(C(C)C)C(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1C(C4=CC=CC=C4)NS(C(C)(C)C)=O,298.15,27.545
O=C(N(C(C)C)C(C)C)C1=C(P(C2=CC=CC=C2)C3=CC=CC=C3)C=CC=C1C(C4=CC=CC=C4)NS(C(C)(C)C)=O,298.15,26.422
