SMILES,T,¦¤G
CC(N(C1=CC=CC=C1C(C)C)C2[Cu]Cl)(CN2C3=C(C(C)C)C=CC=C3C(C)C)C,298,22.62383
S=C1SCC(O)N1C2=CC=CC3=C2C=CC=C3,253,18.43
S=C1SCC(O)N1C2=C(C=CC=C3)C3=CC=C2C,253,21.503
S=C1SCC(O)N1C2=C(C=CC=C3)C3=CC=C2C,302,21.516
S=C1SCC(O)N1C2=C(C=CC=C3)C3=CC=C2C,308,21.529
S=C1SCC(O)N1C2=C(C=CC=C3)C3=CC=C2C,313,21.67
S=C1SC=CN1C2=C([H])C=CC3=C2C=CC=C3,298.15,21.6
CCC1=C(NC2=CC=CC=C2C(C)C)C(C)=CC=C1,298.15,20.426
CC(C)C1=C(NC2=CC=CC=C2C(C)C)C(C)=CC=C1,298.15,21.023
CC(C)C1=C(NC2=CC=CC=C2C)C(C)=CC(C(C)(C)C)=C1,298.15,20.928
CC(C)C1=C(NC2=CC=CC=C2C(C)C)C(C)=CC(C(C)(C)C)=C1,298.15,21.477
