SMILES,T,¦¤G,
C=C(C(OC)=O)CN(C(OC)=O)N1C(C2=CC=CC=C2)=C(C(C)=O)C(C(OCC)=O)=C1C,408.1 ,32.3,
C=C(C(OC)=O)CN(C(OC)=O)N1C(C2=CC=CC=C2)=C(C(OCC)=O)C=C1C,408.1 ,30.6,
O=C1N(N(CCC(C(OC)=O)=C)C(OC)=O)C(C)=NC2=CC=CC=C21,408.1 ,31.4,
O=C1N(N(CCC(C(OC)=O)=C)C(C2=CC=CC=C2)=O)C(C)=NC3=CC=CC=C31,408.1 ,29.6,
O=C1N(N(CCC(C(OC)=O)=C)C(C2=CC=C(C(C)(C)C)C=C2)=O)C(C)=NC3=CC=CC=C31,408.1 ,29.6,
O=C1N(N(C(OCC)=O)C(/C=C/C2=CC=CC=C2)=O)C(C3=CC=CC=C3)=NC4=CC=CC=C41,358.15,29.4,
O=C1N(N(C(OCC)=O)C(/C=C/C2=CC=CC=C2)=O)C(C)=NC3=CC=CC=C31,393.15,32.4,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(OC(C)(C)C)=O,343.15,28.02,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(OC(C)(C)C)=O,343.15,27.74,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(OC(C)(C)C)=O,343.15,27.96,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(OC(C)(C)C)=O,343.15,28.64,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(C4=CC=CC=C4)=O,343.15,26.36,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(CC4=CC=CC=C4)=O,343.15,29.12,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C3=CC=CC=C3)C(OCC4=CC=CC=C4)=O,343.15,27.66,
CC1=C(C(OC)=O)C=C(C2=CC=C(I)C=C2)N1N(C)C(OC(C)(C)C)=O,343.15,29.43,
O=C(OCCC)C1=C(N(N(C(OCC)=O)CC(C(OC(C)(C)C)=O)=C)C(C)=C1C(OCC)=O)C2=CC=CC3=C2C=CC=C3,403.15,31.2,
O=C1N(N2C=CC3=C2N=CC=C3)C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C61,393.15,32.8,
O=CC1=CC2=CC=CC=C2N1N3C=CC=C3/C=C/C(OCC)=O,373.15,30.38,
[H]C(N1N2C3=CC=CC=C3C=C2C=O)=CC=C1C#C[Si](C(C)C)(C(C)C)C(C)C,333.15,26.37,
O=CC1=CC2=CC=CC=C2N1N3C=CC=C3C4=CC5=C(C=C4)C=CC=C5,373.15,27.03,
O=CC1=CC2=CC=CC=C2N1N3C=CC=C3C=O,373.15,26.2,
O=C1N(N2C(C([C@@](CC3=CC=CC=C3)(C(OC)=O)N=C4)C4C2=O)=O)C(C5=CC=CC=C5)=NC6=C1C=CC=C6,373.15,30.7,
O=C1C2C([C@@](CC3=CC=CC=C3)(C(OC)=O)N=C2)C(N1N4C(C=CC=C5)=C5C=C4C(OCC)=O)=O,353.15,28.7,
